,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,POGAČARJEV TRG-TRŽNICA,KONGRESNI TRG-ŠUBIČEVA ULICA,CANKARJEVA UL.-NAMA,BREG,GRUDNOVO NABREŽJE-KARLOVŠKA C.,MIKLOŠIČEV PARK,BAVARSKI DVOR,TRG OF-KOLODVORSKA UL.,MASARYKOVA DDC,VILHARJEVA CESTA,PARK NAVJE-ŽELEZNA CESTA,TRG MDB,PARKIRIŠČE NUK 2-FF,AMBROŽEV TRG,GH ŠENTPETER-NJEGOŠEVA C.,ILIRSKA ULICA,TRŽAŠKA C.-ILIRIJA,TIVOLI,STARA CERKEV,KINO ŠIŠKA,ŠPICA,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,ZALOŠKA C.-GRABLOVIČEVA C.,TRŽNICA MOSTE,ROŽNA DOLINA-ŠKRABČEVA UL.,DUNAJSKA C.-PS PETROL,PLEČNIKOV STADION,DUNAJSKA C.-PS MERCATOR,LIDL - VOJKOVA CESTA,ŠPORTNI CENTER STOŽICE,KOPRSKA ULICA,MERCATOR CENTER ŠIŠKA,CITYPARK,BTC CITY/DVORANA A,BTC CITY ATLANTIS,TRNOVO,P+R BARJE,P + R DOLGI MOST,BONIFACIJA,ANTONOV TRG,BRATOVŠEVA PLOŠČAD,BS4-STOŽICE,SAVSKO NASELJE 2-LINHARTOVA CESTA,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,SITULA,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,HOFER-KAJUHOVA,BRODARJEV TRG,PREGLOV TRG,LIDL-LITIJSKA CESTA,ŽIVALSKI VRT,CESTA NA ROŽNIK,ŠMARTINSKI PARK,POLJANSKA-POTOČNIKOVA,SREDNJA FRIZERSKA ŠOLA,POVŠETOVA-GRABLOVIČEVA,TRŽNICA KOSEZE,LIDL BEŽIGRAD,MERCATOR MARKET - CELOVŠKA C. 163,RAKOVNIK,ALEJA - CELOVŠKA CESTA,IKEA,KOPALIŠČE KOLEZIJA,VIŠKO POLJE,KOSEŠKI BAJER,DRAVLJE,ČRNUČE,STUDENEC,POLJE,ZALOG,LIDL - RUDNIK,PRUŠNIKOVA,POVŠETOVA - KAJUHOVA,SOSESKA NOVO BRDO,TEHNOLOŠKI PARK,VOJKOVA - GASILSKA BRIGADA,GERBIČEVA - ŠPORTNI PARK SVOBODA,DOLENJSKA C. - STRELIŠČE,ROŠKA - STRELIŠKA,LEK - VEROVŠKOVA,VOKA - SLOVENČEVA,SUPERNOVA LJUBLJANA - RUDNIK
PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,0,0.0,0.0,0.0,8.766546470958161,0.0,0.3716511225862538,0.5989007301391305,0.0,0.0,1.4519002913923256,0.0,0.8233414373770169,0.0,0.9527328541908056,0.0,1.0148341570103085,0.0,1.1446273508450895,1.585448301149379,2.3411378738665722,17.957727095865966,3.2487618739824984,0.0,2.331978029668011,0.9590852936174964,0.0,0.0,0.0,0.0,3.6948994618596642,2.5166775233079313,4.614187025352247,3.6337576961708984,0.0,0.0,1.0453297294459147,2.6684641091055146,3.545992652147203,2.821739600231667,0.0,4.252876242649815,4.181307400621183,1.9524080473447698,1.486909290146108,1.431226534268867,0.0,2.8498092613262163,3.6451147262576944,4.117322030419188,3.307911752004733,2.5844988726692772,1.5302204344124626,2.625133363195776,1.390795162647598,3.5042042634289614,1.935811520739091,3.4502732097809687,1.3663034341733618,0.0,13.614176846355296,3.361549188268592,3.068884394295926,1.3135475817618834,2.8341117587467513,3.339623846244988,4.062497412097022,6.3664106840775965,5.034145673498466,5.805280656020016,8.494655461311737,4.077427619686644,5.0196604802108435,0.0,3.376273757218849,3.2641059620446597,0.0,1.443999391351413,0.0,0.0,0.0,0.0,4.030325092350666
POGAČARJEV TRG-TRŽNICA,0.0,0,0.0,0.0,8.766546470958161,0.0,0.3716511225862538,0.5989007301391305,0.0,0.0,1.4519002913923256,0.0,0.8233414373770169,0.0,0.9527328541908056,0.0,1.0148341570103085,0.0,1.1446273508450895,1.585448301149379,2.3411378738665722,17.957727095865966,3.2487618739824984,0.0,2.331978029668011,0.9590852936174964,0.0,0.0,0.0,0.0,3.6948994618596642,2.5166775233079313,4.614187025352247,3.6337576961708984,0.0,0.0,1.0453297294459147,2.6684641091055146,3.545992652147203,2.821739600231667,0.0,4.252876242649815,4.181307400621183,1.9524080473447698,1.486909290146108,1.431226534268867,0.0,2.8498092613262163,3.6451147262576944,4.117322030419188,3.307911752004733,2.5844988726692772,1.5302204344124626,2.625133363195776,1.390795162647598,3.5042042634289614,1.935811520739091,3.4502732097809687,1.3663034341733618,0.0,13.614176846355296,3.361549188268592,3.068884394295926,1.3135475817618834,2.8341117587467513,3.339623846244988,4.062497412097022,6.3664106840775965,5.034145673498466,5.805280656020016,8.494655461311737,4.077427619686644,5.0196604802108435,0.0,3.376273757218849,3.2641059620446597,0.0,1.443999391351413,0.0,0.0,0.0,0.0,4.030325092350666
KONGRESNI TRG-ŠUBIČEVA ULICA,0.0,0.0,0,0.0,8.766546470958161,0.0,0.3716511225862538,0.5989007301391305,0.0,0.0,1.4519002913923256,0.0,0.8233414373770169,0.0,0.9527328541908056,0.0,1.0148341570103085,0.0,1.1446273508450895,1.585448301149379,2.3411378738665722,17.957727095865966,3.2487618739824984,0.0,2.331978029668011,0.9590852936174964,0.0,0.0,0.0,0.0,3.6948994618596642,2.5166775233079313,4.614187025352247,3.6337576961708984,0.0,0.0,1.0453297294459147,2.6684641091055146,3.545992652147203,2.821739600231667,0.0,4.252876242649815,4.181307400621183,1.9524080473447698,1.486909290146108,1.431226534268867,0.0,2.8498092613262163,3.6451147262576944,4.117322030419188,3.307911752004733,2.5844988726692772,1.5302204344124626,2.625133363195776,1.390795162647598,3.5042042634289614,1.935811520739091,3.4502732097809687,1.3663034341733618,0.0,13.614176846355296,3.361549188268592,3.068884394295926,1.3135475817618834,2.8341117587467513,3.339623846244988,4.062497412097022,6.3664106840775965,5.034145673498466,5.805280656020016,8.494655461311737,4.077427619686644,5.0196604802108435,0.0,3.376273757218849,3.2641059620446597,0.0,1.443999391351413,0.0,0.0,0.0,0.0,4.030325092350666
CANKARJEVA UL.-NAMA,0.0,0.0,0.0,0,8.766546470958161,0.0,0.3716511225862538,0.5989007301391305,0.0,0.0,1.4519002913923256,0.0,0.8233414373770169,0.0,0.9527328541908056,0.0,1.0148341570103085,0.0,1.1446273508450895,1.585448301149379,2.3411378738665722,17.957727095865966,3.2487618739824984,0.0,2.331978029668011,0.9590852936174964,0.0,0.0,0.0,0.0,3.6948994618596642,2.5166775233079313,4.614187025352247,3.6337576961708984,0.0,0.0,1.0453297294459147,2.6684641091055146,3.545992652147203,2.821739600231667,0.0,4.252876242649815,4.181307400621183,1.9524080473447698,1.486909290146108,1.431226534268867,0.0,2.8498092613262163,3.6451147262576944,4.117322030419188,3.307911752004733,2.5844988726692772,1.5302204344124626,2.625133363195776,1.390795162647598,3.5042042634289614,1.935811520739091,3.4502732097809687,1.3663034341733618,0.0,13.614176846355296,3.361549188268592,3.068884394295926,1.3135475817618834,2.8341117587467513,3.339623846244988,4.062497412097022,6.3664106840775965,5.034145673498466,5.805280656020016,8.494655461311737,4.077427619686644,5.0196604802108435,0.0,3.376273757218849,3.2641059620446597,0.0,1.443999391351413,0.0,0.0,0.0,0.0,4.030325092350666
BREG,8.766546470958161,8.766546470958161,8.766546470958161,8.766546470958161,0,8.766546470958161,8.470950388106711,8.217241301132983,8.766546470958161,8.766546470958161,8.31497002432611,8.766546470958161,8.932473711371138,8.766546470958161,9.271243965232271,8.766546470958161,8.967631630314143,8.766546470958161,7.639741022597836,7.22340358425877,6.502650894511301,26.574363688143638,11.383454080831482,8.766546470958161,9.293839318698389,8.45937059091419,8.766546470958161,8.766546470958161,8.766546470958161,8.766546470958161,6.0399093410273945,10.297465293587427,4.306481523906111,8.809026359198798,8.766546470958161,8.766546470958161,9.7251067618888,11.180874600742065,9.854543918260612,9.575110930778461,8.766546470958161,5.223490720849703,5.748235675176883,7.873795157749677,8.473679539597372,8.348252458943403,8.766546470958161,9.554254822495132,10.120985859630906,10.47799373784145,10.636386783801488,7.801116535418034,8.049125060207595,8.148484728356081,9.5214755169307,5.264293852983533,9.521399788747733,5.7593749158136935,7.563651238428241,8.766546470958161,6.473902364566489,5.5224406682367375,8.646216975734877,9.48862282732369,8.786028579687517,6.456767391062123,4.957569315204674,5.554945150564469,11.06564290037383,11.625766403648452,13.188278063560228,12.798133169972402,3.9684788983704684,8.766546470958161,8.876466940503548,8.501617664101898,8.766546470958161,9.657859861020071,8.766546470958161,8.766546470958161,8.766546470958161,8.766546470958161,12.669305558538376
GRUDNOVO NABREŽJE-KARLOVŠKA C.,0.0,0.0,0.0,0.0,8.766546470958161,0,0.3716511225862538,0.5989007301391305,0.0,0.0,1.4519002913923256,0.0,0.8233414373770169,0.0,0.9527328541908056,0.0,1.0148341570103085,0.0,1.1446273508450895,1.585448301149379,2.3411378738665722,17.957727095865966,3.2487618739824984,0.0,2.331978029668011,0.9590852936174964,0.0,0.0,0.0,0.0,3.6948994618596642,2.5166775233079313,4.614187025352247,3.6337576961708984,0.0,0.0,1.0453297294459147,2.6684641091055146,3.545992652147203,2.821739600231667,0.0,4.252876242649815,4.181307400621183,1.9524080473447698,1.486909290146108,1.431226534268867,0.0,2.8498092613262163,3.6451147262576944,4.117322030419188,3.307911752004733,2.5844988726692772,1.5302204344124626,2.625133363195776,1.390795162647598,3.5042042634289614,1.935811520739091,3.4502732097809687,1.3663034341733618,0.0,13.614176846355296,3.361549188268592,3.068884394295926,1.3135475817618834,2.8341117587467513,3.339623846244988,4.062497412097022,6.3664106840775965,5.034145673498466,5.805280656020016,8.494655461311737,4.077427619686644,5.0196604802108435,0.0,3.376273757218849,3.2641059620446597,0.0,1.443999391351413,0.0,0.0,0.0,0.0,4.030325092350666
MIKLOŠIČEV PARK,0.3716511225862538,0.3716511225862538,0.3716511225862538,0.3716511225862538,8.470950388106711,0.3716511225862538,0,0.254243569835819,0.3716511225862538,0.3716511225862538,1.1482770778727491,0.3716511225862538,1.1193965355353552,0.3716511225862538,0.9783905866979363,0.3716511225862538,0.8997452144479264,0.3716511225862538,0.9259630160838543,1.3682997663830945,2.1172461780775027,18.298815169144458,3.618785252851287,0.3716511225862538,2.1651320550725597,1.1140803154916687,0.3716511225862538,0.3716511225862538,0.3716511225862538,0.3716511225862538,3.3238421958037643,2.864134129744269,4.368524962139809,3.3674950753532866,0.3716511225862538,0.3716511225862538,1.4112422707846999,3.0370416772253574,3.8121066397356302,3.093814373295923,0.3716511225862538,3.8896834534223035,3.810330927802095,1.6092463496625624,1.2121908176701772,1.1328843028801536,0.3716511225862538,2.6874646108002023,3.5013644560034565,3.982035771837625,3.2596681517196204,2.652670037749894,1.6002795783853019,2.315606019721963,1.3923622331842245,3.2072107833242383,1.8463931455875433,3.2791327322959765,1.0030925401343485,0.3716511225862538,13.427781986112985,3.127940962320176,2.7993921630396055,1.6607908674811718,3.0246359977695687,3.2586927367330505,3.842903936416268,5.995169524877833,4.899029783304464,5.672968989283906,8.332885106231767,4.339535792218389,4.778358707049223,0.3716511225862538,3.562471505905087,3.4157503796887885,0.3716511225862538,1.799575025025535,0.3716511225862538,0.3716511225862538,0.3716511225862538,0.3716511225862538,4.2593564802494575
BAVARSKI DVOR,0.5989007301391305,0.5989007301391305,0.5989007301391305,0.5989007301391305,8.217241301132983,0.5989007301391305,0.254243569835819,0,0.5989007301391305,0.5989007301391305,1.1084966625060784,0.5989007301391305,1.246863367023263,0.5989007301391305,1.1829654929481577,0.5989007301391305,1.0413131022937512,0.5989007301391305,0.7126261600785891,1.1450715912927987,1.8848031372917158,18.548248378483002,3.8184230101399717,0.5989007301391305,2.2320919362605194,1.1396582513238824,0.5989007301391305,0.5989007301391305,0.5989007301391305,0.5989007301391305,3.1086495886371175,3.021155962589137,4.124753370687052,3.3363442967591124,0.5989007301391305,0.5989007301391305,1.643962893529314,3.2646753152730716,3.8785238182978663,3.1693678565821126,0.5989007301391305,3.654477650090714,3.5942784046968494,1.495939905936807,1.2050602035987035,1.100729976700883,0.5989007301391305,2.7516665174904364,3.5732091171817517,4.057508159811879,3.3945899512664495,2.5774033642395224,1.5455515740813615,2.243490308636002,1.5747967927398818,2.953818082688831,1.9712261609490374,3.0640557937606383,0.7693039669609301,0.5989007301391305,13.200088805822821,2.8891277978455556,2.768751582836111,1.8255555176101623,3.033120169020265,3.088132228502778,3.6076940833666415,5.794640677026455,4.971320771176551,5.74527237899667,8.379682019879297,4.5908367417934315,4.535536042329112,0.5989007301391305,3.5639211323449214,3.3921827941042806,0.5989007301391305,1.974170774371262,0.5989007301391305,0.5989007301391305,0.5989007301391305,0.5989007301391305,4.504804826456924
TRG OF-KOLODVORSKA UL.,0.0,0.0,0.0,0.0,8.766546470958161,0.0,0.3716511225862538,0.5989007301391305,0,0.0,1.4519002913923256,0.0,0.8233414373770169,0.0,0.9527328541908056,0.0,1.0148341570103085,0.0,1.1446273508450895,1.585448301149379,2.3411378738665722,17.957727095865966,3.2487618739824984,0.0,2.331978029668011,0.9590852936174964,0.0,0.0,0.0,0.0,3.6948994618596642,2.5166775233079313,4.614187025352247,3.6337576961708984,0.0,0.0,1.0453297294459147,2.6684641091055146,3.545992652147203,2.821739600231667,0.0,4.252876242649815,4.181307400621183,1.9524080473447698,1.486909290146108,1.431226534268867,0.0,2.8498092613262163,3.6451147262576944,4.117322030419188,3.307911752004733,2.5844988726692772,1.5302204344124626,2.625133363195776,1.390795162647598,3.5042042634289614,1.935811520739091,3.4502732097809687,1.3663034341733618,0.0,13.614176846355296,3.361549188268592,3.068884394295926,1.3135475817618834,2.8341117587467513,3.339623846244988,4.062497412097022,6.3664106840775965,5.034145673498466,5.805280656020016,8.494655461311737,4.077427619686644,5.0196604802108435,0.0,3.376273757218849,3.2641059620446597,0.0,1.443999391351413,0.0,0.0,0.0,0.0,4.030325092350666
MASARYKOVA DDC,0.0,0.0,0.0,0.0,8.766546470958161,0.0,0.3716511225862538,0.5989007301391305,0.0,0,1.4519002913923256,0.0,0.8233414373770169,0.0,0.9527328541908056,0.0,1.0148341570103085,0.0,1.1446273508450895,1.585448301149379,2.3411378738665722,17.957727095865966,3.2487618739824984,0.0,2.331978029668011,0.9590852936174964,0.0,0.0,0.0,0.0,3.6948994618596642,2.5166775233079313,4.614187025352247,3.6337576961708984,0.0,0.0,1.0453297294459147,2.6684641091055146,3.545992652147203,2.821739600231667,0.0,4.252876242649815,4.181307400621183,1.9524080473447698,1.486909290146108,1.431226534268867,0.0,2.8498092613262163,3.6451147262576944,4.117322030419188,3.307911752004733,2.5844988726692772,1.5302204344124626,2.625133363195776,1.390795162647598,3.5042042634289614,1.935811520739091,3.4502732097809687,1.3663034341733618,0.0,13.614176846355296,3.361549188268592,3.068884394295926,1.3135475817618834,2.8341117587467513,3.339623846244988,4.062497412097022,6.3664106840775965,5.034145673498466,5.805280656020016,8.494655461311737,4.077427619686644,5.0196604802108435,0.0,3.376273757218849,3.2641059620446597,0.0,1.443999391351413,0.0,0.0,0.0,0.0,4.030325092350666
