PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,POGAČARJEV TRG-TRŽNICA,KONGRESNI TRG-ŠUBIČEVA ULICA,CANKARJEVA UL.-NAMA,BREG,GRUDNOVO NABREŽJE-KARLOVŠKA C.,MIKLOŠIČEV PARK,BAVARSKI DVOR,TRG OF-KOLODVORSKA UL.,MASARYKOVA DDC,VILHARJEVA CESTA,PARK NAVJE-ŽELEZNA CESTA,TRG MDB,PARKIRIŠČE NUK 2-FF,AMBROŽEV TRG,GH ŠENTPETER-NJEGOŠEVA C.,ILIRSKA ULICA,TRŽAŠKA C.-ILIRIJA,TIVOLI,STARA CERKEV,KINO ŠIŠKA,ŠPICA,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,ZALOŠKA C.-GRABLOVIČEVA C.,TRŽNICA MOSTE,ROŽNA DOLINA-ŠKRABČEVA UL.,DUNAJSKA C.-PS PETROL,PLEČNIKOV STADION,DUNAJSKA C.-PS MERCATOR,LIDL - VOJKOVA CESTA,ŠPORTNI CENTER STOŽICE,KOPRSKA ULICA,MERCATOR CENTER ŠIŠKA,CITYPARK,BTC CITY/DVORANA A,BTC CITY ATLANTIS,TRNOVO,P+R BARJE,P + R DOLGI MOST,BONIFACIJA,ANTONOV TRG,BRATOVŠEVA PLOŠČAD,BS4-STOŽICE,SAVSKO NASELJE 2-LINHARTOVA CESTA,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,SITULA,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,HOFER-KAJUHOVA,BRODARJEV TRG,PREGLOV TRG,LIDL-LITIJSKA CESTA,ŽIVALSKI VRT,CESTA NA ROŽNIK,ŠMARTINSKI PARK,POLJANSKA-POTOČNIKOVA,SREDNJA FRIZERSKA ŠOLA,POVŠETOVA-GRABLOVIČEVA,TRŽNICA KOSEZE,LIDL BEŽIGRAD,MERCATOR MARKET - CELOVŠKA C. 163,RAKOVNIK,ALEJA - CELOVŠKA CESTA,IKEA,KOPALIŠČE KOLEZIJA,VIŠKO POLJE,KOSEŠKI BAJER,DRAVLJE,ČRNUČE,STUDENEC,POLJE,ZALOG,LIDL - RUDNIK,PRUŠNIKOVA,POVŠETOVA - KAJUHOVA,SOSESKA NOVO BRDO,TEHNOLOŠKI PARK,VOJKOVA - GASILSKA BRIGADA,GERBIČEVA - ŠPORTNI PARK SVOBODA,DOLENJSKA C. - STRELIŠČE,ROŠKA - STRELIŠKA,LEK - VEROVŠKOVA,VOKA - SLOVENČEVA,SUPERNOVA LJUBLJANA - RUDNIK
10.689388,11.9044695,6.463277,1.091695,6.442035,9.441692,3.74666,4.5114756,7.4659295,0.7092292,9.156746,0.2602058,2.2903724,-1.4701293,9.850672,2.7002163,6.8097854,0.52114046,8.940576,11.045427,12.413205,7.9386797,9.689665,3.3372717,6.58989,12.489519,-0.6273298,0.62085193,3.6220999,15.757863,22.367525,1.5564481,6.137409,4.200038,-0.74125737,10.48146,2.0115767,11.704139,9.710297,7.6548443,7.538045,17.045576,8.924303,7.687016,8.640132,1.7621973,17.36245,9.652298,13.529583,15.263319,14.867725,6.909469,11.389753,2.1494637,6.083866,5.188559,8.695377,6.4062247,2.6540804,16.298052,12.867577,3.9954047,1.0202758,1.4183562,3.716562,7.7044744,2.2070742,9.913747,15.508572,11.287277,11.7765665,2.791521,7.2220354,8.218397,-1.0691593,0.2730596,1.2455995,6.8666277,1.1814507,1.4845833,-1.6804113,0.889261,7.386253
9.936406,11.303935,6.6018243,1.4750699,6.497704,8.648967,2.927759,4.50278,6.778109,0.8031451,8.612871,0.32851332,2.123394,-0.35476524,8.835935,2.1410117,6.530578,0.506433,9.096546,10.232235,11.669586,7.6628885,9.735476,4.3248954,6.90471,11.706253,-0.14375493,0.6226111,3.5897188,14.772095,21.705217,1.2363884,5.9889216,3.471209,-1.4000359,9.830666,2.4102669,11.897687,9.6833515,7.1874247,7.9760513,16.543585,8.138392,7.9798384,9.127982,1.4648467,17.209465,9.320229,12.447075,14.943876,16.001572,7.5720334,12.322788,2.497459,5.9666414,5.647965,8.75973,5.6848035,2.844911,16.226511,13.101106,2.7426715,0.86053646,1.0158377,3.743144,7.3675137,2.032039,9.786572,15.586081,11.412407,10.945966,2.6799707,6.958952,8.431936,-0.83643234,0.21865964,1.7547901,7.717081,0.76237,1.649314,-1.6080825,1.7078335,6.559744
1.0992053,-1.0887856,-1.3912811,1.0648571,-1.0846134,1.4188027,-2.6479647,-1.6158695,-0.057753853,-1.1502879,1.6834675,1.1007104,-0.2339158,0.24750823,5.2767158,2.9732924,2.0448513,18.577944,4.9876113,2.8420355,15.082066,14.472814,16.026491,8.595272,14.47511,9.903165,0.61409664,14.193659,16.964462,18.966902,12.990997,4.293898,8.973102,5.9688945,3.680838,-0.015662372,4.600903,6.1050224,12.912943,7.4310093,5.066968,5.256614,13.616202,8.104935,3.0019708,4.926223,17.955933,4.2628736,19.833277,6.255598,15.243909,2.7630606,16.405054,3.7890856,4.787969,2.0648975,14.77376,14.041437,2.9769585,16.768131,10.242901,4.52881,3.3265398,6.905711,2.9675333,2.302658,2.368803,16.097998,17.990446,10.045494,15.032237,1.1982697,9.23806,7.969676,11.674,5.324028,10.301696,19.219978,6.5369906,5.282346,1.6819146,7.999652,-0.052755833
1.0283978,-1.2167163,-1.3624272,1.1618563,-0.9840666,1.4593858,-2.7137,-1.5949972,0.20035684,-1.2673643,1.565169,0.96601367,-0.32017112,0.42020983,5.207024,2.9677558,1.9024332,18.612122,5.023444,2.7248905,15.064035,14.425575,15.97785,8.590311,14.523045,9.830788,0.60159206,14.1724825,17.117641,19.09872,13.160335,4.368134,8.971265,5.944676,3.6293144,-0.08789617,4.6055145,6.0631456,13.07576,7.446248,5.021726,5.120833,13.685185,7.911438,2.837729,4.860955,18.003803,4.2411084,19.903559,6.1389103,15.127662,2.8159168,16.324385,3.7843938,4.7864685,2.0863652,14.725382,14.100767,2.8232985,16.744455,10.310925,4.472283,3.3722277,7.0015507,2.995872,2.4025278,2.3979797,16.13348,17.98947,10.074821,15.1325865,1.2252855,9.278253,7.977321,11.805348,5.3671465,10.28705,19.316133,6.582199,5.210861,1.7507162,8.117322,-0.06389642
7.2420397,4.498322,2.6678095,10.08845,17.038795,8.067848,2.9406903,2.1606638,-0.42819232,1.0023897,2.226029,3.16786,4.0432262,2.6746442,5.700223,2.9327416,2.306635,7.619767,5.6222124,6.6720347,6.808302,11.706368,4.7164483,2.4181538,6.4625196,10.225877,0.15512136,2.6569507,0.8195822,11.048086,10.515277,2.034564,0.44377324,5.7297807,6.176445,0.05792314,5.264377,8.194938,4.616476,2.0979464,9.178638,7.355976,13.819976,8.609678,4.7832584,4.3443604,13.017568,7.1170135,9.273478,12.720008,12.67885,1.2857966,4.764393,3.1114006,1.9948474,4.940128,6.5067806,8.187095,2.8029037,0.9149889,10.394682,4.0491414,1.3160117,2.6341376,10.664635,5.539981,1.3959117,6.741773,7.428452,9.428026,11.127801,3.0679154,3.7058985,9.077824,8.520383,1.6524317,3.6326358,8.293527,5.913799,1.8917054,2.6102812,2.7392027,3.8759017
6.53941,4.400031,2.796899,7.863723,16.729265,7.6700497,2.786537,1.9422011,-0.5603029,1.309294,2.1132414,3.7142942,3.973299,3.020394,6.2202063,3.5024624,2.7749276,8.050084,5.437403,6.9912815,7.522026,11.6759405,4.645786,3.4773455,6.8293715,10.400273,0.24895695,2.6545887,1.2905282,11.276821,10.8030205,1.8882135,0.8117691,5.0843687,4.9724827,-0.22015202,5.1503196,8.19424,4.659996,2.4524903,9.23396,7.0359845,13.904907,8.903901,5.115034,4.144418,13.225462,6.8009944,10.188732,13.255702,12.688543,0.9013104,4.7966614,3.3141336,2.0904627,5.1605754,6.6271005,7.8718915,2.978708,1.3066028,10.071541,3.004408,1.1599627,2.4905818,10.412575,5.5116534,1.2506888,6.721351,7.599498,9.535155,11.130476,3.2156744,4.0383654,9.431074,8.51425,1.7565243,3.0176024,8.027784,5.899464,2.1084416,3.1148438,3.1461115,3.614838
-0.9033942,2.2695994,-0.89869773,-2.0659285,1.000019,2.4742303,-0.64352316,1.2790909,2.8835964,1.9138143,1.6122643,0.9589474,3.9355543,0.58361953,5.5236473,0.29427522,2.0730317,14.134288,-2.203467,4.070932,13.388657,6.051889,5.5001187,7.580014,14.134386,4.8378096,10.21653,6.972929,12.700778,15.554405,17.746836,3.804318,-0.33861843,10.405168,3.54655,3.3240867,8.807481,12.6947775,6.566527,7.0532928,14.229206,9.588695,16.023493,2.6943862,9.591842,3.10745,2.8117633,6.793029,10.913196,10.903531,2.4332783,2.6441958,8.357448,9.54003,7.614744,10.8579645,3.19172,9.970764,3.6994963,18.492752,7.2556534,10.76365,7.8418307,1.5097861,6.837522,17.637583,5.3390074,4.0450773,15.999842,8.114081,8.251428,7.302384,10.339528,14.175037,9.671475,8.162992,11.4631,19.595043,2.679823,12.31962,3.503244,4.5046835,6.040248
0.036274225,3.157969,-0.7203537,-0.77361166,0.98462284,2.364511,-0.15437955,1.8131766,3.9237432,2.8865445,2.1091747,0.8967197,4.603059,0.61653286,5.574423,0.5528206,2.2882102,14.589343,-2.045898,3.8045144,13.242508,5.4875813,5.7906137,7.3621235,13.666505,4.95613,10.663,6.8707695,11.61544,14.992567,17.516108,3.5359783,-0.36830822,10.367004,4.3226733,3.1723824,8.788231,12.319795,6.5088153,6.722865,14.0728855,8.985066,15.256108,2.9917715,10.033639,3.840498,2.3983328,6.5461583,10.525998,11.045997,2.1731374,2.565415,8.680754,9.48296,6.9966145,10.192078,2.8586807,9.796175,3.8044724,18.703714,7.44893,10.7037945,7.9802594,2.0758383,6.3276057,17.325739,5.778245,3.6301372,15.730186,7.5091586,7.72949,7.621155,10.267073,14.130262,9.275823,8.29753,10.563809,19.34341,3.1898727,12.65846,3.207622,4.5374284,5.9903784
6.979445,3.8340425,2.2277179,0.94861877,-0.38853613,5.8140855,3.8716009,7.99662,21.07078,6.0360303,10.485993,-2.202449,2.2520604,-0.70016843,4.623536,4.328969,2.5620835,7.062289,4.088524,7.2713714,14.2322,4.753156,8.169146,-2.0368133,5.501618,14.8435755,0.73858213,4.796897,2.972731,13.321417,7.85337,4.0415473,3.3494422,4.937898,6.7821016,6.8707914,2.6487944,5.9158235,9.293228,0.633556,6.2080927,4.813148,9.572225,6.7135153,5.5900207,5.678008,11.464083,9.34107,15.065816,13.634519,2.3967354,1.4067442,4.087189,3.9000595,3.9507418,2.8623857,3.448505,7.843888,0.29648882,7.953357,7.026284,4.77889,3.6552198,8.800873,5.657168,2.9769268,6.376343,6.871323,7.829515,7.026392,11.557868,5.279557,6.893111,8.288166,9.073813,4.8504,3.6490965,11.655366,5.588688,-0.10922971,2.0081084,0.4431386,4.364977
7.5170846,3.744687,2.8003585,1.5825685,-0.12677708,6.2866955,3.8389747,8.128785,18.414555,4.4025235,10.606257,-4.1080356,2.277895,-0.2802654,5.3107934,4.5954895,3.544168,7.4814453,3.6198854,7.148778,12.348728,4.5928807,7.206287,-2.5533633,5.581979,13.841338,0.28802255,4.5969133,3.5162401,15.539093,9.799969,3.8772693,2.1301425,5.9899306,8.9689245,6.0569215,3.32003,6.416178,8.738354,0.5210607,5.0638747,5.124919,10.298873,5.4157877,4.9696803,4.517671,10.61805,8.996175,13.295725,12.377183,1.6983907,0.9838268,3.1651163,3.7567675,4.0277123,2.8972592,3.178698,7.9513297,-0.08754724,8.01802,6.8335934,5.171762,4.4275074,7.427537,6.9507823,3.8270884,6.6035037,6.1153903,8.758047,6.7841244,10.701982,4.697086,7.1813755,7.1275496,7.9967127,4.913624,5.234904,12.032229,4.7941484,-0.8712901,1.7954175,-0.0615139,4.8742504
