,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,POGAČARJEV TRG-TRŽNICA,KONGRESNI TRG-ŠUBIČEVA ULICA,CANKARJEVA UL.-NAMA,BREG,GRUDNOVO NABREŽJE-KARLOVŠKA C.,MIKLOŠIČEV PARK,BAVARSKI DVOR,TRG OF-KOLODVORSKA UL.,MASARYKOVA DDC,VILHARJEVA CESTA,PARK NAVJE-ŽELEZNA CESTA,TRG MDB,PARKIRIŠČE NUK 2-FF,AMBROŽEV TRG,GH ŠENTPETER-NJEGOŠEVA C.,ILIRSKA ULICA,TRŽAŠKA C.-ILIRIJA,TIVOLI,STARA CERKEV,KINO ŠIŠKA,ŠPICA,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,ZALOŠKA C.-GRABLOVIČEVA C.,TRŽNICA MOSTE,ROŽNA DOLINA-ŠKRABČEVA UL.,DUNAJSKA C.-PS PETROL,PLEČNIKOV STADION,DUNAJSKA C.-PS MERCATOR,LIDL - VOJKOVA CESTA,ŠPORTNI CENTER STOŽICE,KOPRSKA ULICA,MERCATOR CENTER ŠIŠKA,CITYPARK,BTC CITY/DVORANA A,BTC CITY ATLANTIS,TRNOVO,P+R BARJE,P + R DOLGI MOST,BONIFACIJA,ANTONOV TRG,BRATOVŠEVA PLOŠČAD,BS4-STOŽICE,SAVSKO NASELJE 2-LINHARTOVA CESTA,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,SITULA,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,HOFER-KAJUHOVA,BRODARJEV TRG,PREGLOV TRG,LIDL-LITIJSKA CESTA,ŽIVALSKI VRT,CESTA NA ROŽNIK,ŠMARTINSKI PARK,POLJANSKA-POTOČNIKOVA,SREDNJA FRIZERSKA ŠOLA,POVŠETOVA-GRABLOVIČEVA,TRŽNICA KOSEZE,LIDL BEŽIGRAD,MERCATOR MARKET - CELOVŠKA C. 163,RAKOVNIK,ALEJA - CELOVŠKA CESTA,IKEA,KOPALIŠČE KOLEZIJA,VIŠKO POLJE,KOSEŠKI BAJER,DRAVLJE,ČRNUČE,STUDENEC,POLJE,ZALOG,LIDL - RUDNIK,PRUŠNIKOVA,POVŠETOVA - KAJUHOVA,SOSESKA NOVO BRDO,TEHNOLOŠKI PARK,VOJKOVA - GASILSKA BRIGADA,GERBIČEVA - ŠPORTNI PARK SVOBODA,DOLENJSKA C. - STRELIŠČE,ROŠKA - STRELIŠKA,LEK - VEROVŠKOVA,VOKA - SLOVENČEVA,SUPERNOVA LJUBLJANA - RUDNIK
0,11.30442,11.476389,9.594672,4.6195984,10.526853,7.7848644,4.6785865,3.34547,6.2744603,5.7567225,8.524488,-2.389116,3.0737815,1.5270936,6.0996723,2.7436588,3.704879,1.8884739,6.349519,10.287708,12.588599,7.7794514,8.994393,1.8137332,6.6315036,13.2349825,-2.7031572,3.066903,2.857282,14.044858,21.503242,0.6170599,6.222733,2.9423313,0.6009422,7.8454547,3.4286351,11.443318,9.46909,5.909392,7.570862,15.522749,6.979928,9.334662,9.360721,2.4817894,13.570128,8.861952,12.560549,16.359041,13.025285,5.4754205,9.151144,2.9408607,8.448088,5.5847692,8.184974,6.8576193,0.31155446,13.003478,13.777437,5.302663,1.8617578,1.3708324,7.65849,5.980892,4.216973,9.16436,13.667942,9.590073,11.611819,3.6278565,4.819129,5.643563,-1.92875,2.7259202,-0.54368323,6.9678783,3.008653,3.022337,-2.9533978,1.7085264,6.0629306
1,9.570753,9.849705,8.603814,3.5257952,9.460924,6.908765,4.33236,2.487843,6.3946853,5.4741707,8.066597,-2.4551525,2.6920166,1.3733095,5.539398,2.3879442,2.8925183,2.1549644,5.834563,10.628417,13.387743,7.834081,8.642768,2.4651873,7.417535,12.935746,-2.7194283,2.8867528,3.217589,14.013022,21.579662,0.6131126,6.5327578,2.7096465,0.33354753,7.5324645,3.5455747,11.83347,9.253294,6.0819063,8.523535,16.396343,7.1467547,10.099378,9.969841,2.2235844,13.600983,9.431101,12.701596,16.627045,13.7272835,5.6444592,9.693005,2.8288097,8.710612,5.914837,8.953442,7.1600738,0.36882356,13.300036,14.262314,4.9821,1.7674747,1.2327203,8.173868,6.0646715,4.0127783,9.782061,13.770997,9.752406,11.517556,3.2702954,4.842678,5.6221333,-1.6052756,2.7303588,-0.36787432,7.714238,3.156193,3.0632968,-3.0367508,2.231188,5.915362
2,0.2713252,0.22413208,0.6919441,-0.061581414,-1.6482904,1.8176601,-2.1684496,-2.6139793,-1.579651,-1.4148461,1.5041586,2.0612166,0.602956,1.6584781,5.4603977,2.7837842,1.0384686,18.02452,2.9157789,4.5263863,16.136068,13.581818,17.217615,9.832611,14.874498,12.986459,-1.538893,14.59019,15.200848,19.22517,12.526729,4.4612794,10.215078,5.341602,0.8753429,2.0650294,7.029306,6.9659753,14.349718,6.1345243,7.102871,4.7679524,13.887834,10.00218,2.2215366,5.623655,17.334772,3.8718684,18.300978,6.0797763,15.377225,1.7573471,15.92836,5.5237513,4.878018,1.6519868,12.533541,13.9411745,3.4408355,16.526285,8.454205,3.5393162,3.7676213,7.970914,3.607301,2.5078328,1.8929569,15.800392,17.629288,11.555849,15.717437,3.5758865,7.8784075,7.5224676,11.196222,7.165976,8.614115,17.292578,5.854824,6.032051,2.0672104,9.0915785,0.83488
3,0.279523,0.14829971,0.59916663,0.055539805,-1.5592983,1.9132382,-2.0720751,-2.395029,-1.4239026,-1.396567,1.4817746,2.0468628,0.60126656,1.6385382,5.5534425,2.8516912,1.0308459,17.949312,2.9284058,4.4640937,16.132114,13.4258,17.25827,9.679134,14.712518,12.801409,-1.3984495,14.570819,15.26269,19.273346,12.347409,4.5398407,10.257001,5.294489,0.782339,2.0864563,7.1473737,6.9162965,14.375853,6.1128488,7.0448847,4.7301283,13.902701,9.843093,1.9366418,5.860781,17.410746,3.8439505,18.341002,5.9776535,15.241968,1.904094,15.96965,5.434252,4.8982563,1.6108539,12.492936,13.872516,3.316049,16.320454,8.55104,3.524375,3.6760652,8.202919,3.557003,2.5867617,2.044544,15.941546,17.625813,11.555156,15.836929,3.6007116,7.916079,7.599132,11.197221,7.1860313,8.640151,17.189472,5.8822565,6.070854,2.136107,9.070521,0.91710055
4,5.9369874,4.888604,4.147359,12.019347,15.4479685,7.755625,3.7751935,4.67105,-0.97035944,2.0336304,0.19123764,0.45808432,5.254325,3.806324,4.3167477,4.364369,3.6869724,3.615131,4.8576384,7.445879,5.2209816,10.275905,3.993956,3.7685328,8.211037,9.115384,2.3771207,-0.2268048,3.1730607,13.250453,13.06573,3.0523462,0.68428016,6.438999,3.3616338,2.2641795,5.0620837,8.884068,3.5582893,2.0010853,7.217832,4.485083,12.936862,2.1077135,3.4592695,3.3995054,14.481699,9.349678,9.556692,11.88038,11.202206,2.7250252,4.4124064,4.574489,5.727295,3.3154838,5.1875877,7.5963984,0.9606519,6.105174,9.628737,4.4650893,1.3304335,2.3117485,11.02243,6.303796,0.93943393,7.147651,8.056855,10.529937,10.364691,3.105446,2.6427286,7.944623,8.54348,1.8456928,1.4174283,10.863866,6.3411603,1.5909544,2.0895689,1.820734,2.7195473
5,5.6337748,4.8726225,3.935445,11.147642,15.433838,7.691119,3.7997227,4.7227087,-0.74980366,2.6108313,0.369682,0.22547312,5.4892254,3.9439197,5.0259924,4.443209,3.919152,3.966681,4.760408,7.920538,5.775095,10.232603,3.8776762,3.6852753,8.107285,8.825121,2.5634024,0.057554662,3.5276117,14.145864,13.556259,3.0821102,0.94451356,5.774993,3.0669286,2.0925467,5.073076,8.7080965,3.504669,2.021577,7.166308,4.958224,13.067795,2.6285937,3.566064,4.0638742,14.590714,9.2165365,9.774044,12.0679,11.4321575,2.5410838,4.4675574,4.3559804,6.125019,3.3137197,4.769902,7.302319,1.2508063,7.010331,9.40816,4.289154,1.3318505,2.5274062,11.504013,5.9481306,1.4126648,7.164384,7.9243503,10.539862,10.073224,3.3295496,2.8687053,8.301695,8.364954,2.3778267,1.5004411,10.818733,6.555351,1.8645936,2.1637597,2.2074115,2.7244067
6,-0.10173597,2.603134,-1.2661151,0.0711977,0.10633394,0.08961225,-0.732849,-0.4464339,2.5236971,0.9951157,1.9020821,0.59721154,6.729401,0.48214138,5.498391,1.366284,0.489928,12.186421,-2.3174284,3.158182,10.99631,3.4027548,5.7349343,7.694691,14.146204,5.035125,9.276755,6.337976,12.55382,16.051626,16.910936,4.6875596,1.4288013,8.950832,-0.2675293,3.8405316,9.764984,11.582713,6.3431854,6.7778587,15.415804,8.680161,16.669514,3.9001567,7.952887,2.6405478,2.7928138,8.816717,9.822913,12.312508,2.9610791,-0.21609023,8.535492,9.174056,9.895366,11.650631,2.7685416,10.811528,4.9924784,18.160194,6.8559484,9.854044,8.0470495,2.51582,7.9393587,18.704449,5.606744,2.1558826,15.169931,8.037085,8.617354,6.113676,10.776628,14.983232,7.658186,7.9527063,10.894404,20.14277,2.2373593,11.783639,1.8706914,6.006965,6.153587
7,-0.37783185,1.9206817,-1.8197736,-0.10941009,0.4527323,0.45240736,-0.6896237,-0.31183445,4.389172,1.5423235,2.34381,0.97270745,6.0361323,0.12347306,5.399869,1.2993741,0.2970841,12.388545,-1.8939555,3.486594,11.167702,3.6214142,5.870877,7.518217,13.916513,5.6209755,9.29566,6.4117475,12.373705,15.048103,16.274902,4.602673,1.310694,9.037507,0.009114688,4.07521,10.181076,11.094581,6.5947475,6.8010826,15.193254,8.690459,16.2737,4.1094007,7.8931956,3.397222,3.052394,8.678505,9.892763,12.307813,2.731836,-0.03427604,9.038576,8.283523,9.621559,11.25002,2.416753,10.677287,4.795706,17.834818,7.1148586,9.844575,7.892674,3.1088715,7.707081,18.062164,5.71031,2.7368433,15.073932,7.758451,8.688732,6.4420524,10.758364,14.871573,7.4860725,7.754447,10.285017,19.676691,2.2076805,11.562322,1.986215,6.105925,6.327965
8,10.181129,3.3078043,4.8250074,6.8320656,5.95372,9.4381695,4.1959453,8.882526,22.0943,5.422286,5.857955,1.3869879,4.0157046,-0.5164813,4.2021713,1.4968585,3.7642686,7.372196,10.524035,7.571517,10.79128,3.1623597,10.791412,-0.7733969,5.832309,10.180036,3.5873935,5.755687,0.5795147,7.2399216,4.895733,3.4833539,3.932305,3.8801022,7.618931,7.456922,4.230818,5.0413685,10.954459,2.8722734,9.273451,7.3425093,7.712744,7.48363,8.800689,5.1421065,9.285187,9.113756,15.48078,14.161043,1.9635799,2.1652007,10.189724,5.53961,4.747857,3.0149946,5.2531576,7.4473443,-0.7778053,4.514063,6.8272467,3.6344216,3.706498,8.255013,2.465769,2.147227,6.6317735,6.5140543,9.886549,8.182227,12.459533,4.0892506,8.435148,9.158583,7.046789,6.1715508,4.4025016,9.996887,4.7560654,1.8211029,2.3953898,3.7451448,6.084167
9,10.6208935,3.441547,5.862767,8.534585,7.2497625,11.22517,3.4649286,8.459639,19.105997,3.5410104,4.9356966,0.5134452,3.2671392,-0.18612634,4.154224,0.5085176,3.86709,5.7179093,10.886741,7.9080086,10.649985,2.8086123,11.535603,-1.1778444,6.7150784,9.385404,2.6614761,6.4393277,1.8324265,7.551332,6.35175,3.2439015,3.6527565,5.133523,8.577551,8.118298,4.870032,5.040789,10.274223,2.8301105,9.627003,7.8650475,7.4035316,7.0712547,8.053655,4.2537956,9.663861,9.728838,15.046383,13.418973,0.2834561,2.3940077,8.828393,5.8222747,6.1670485,2.91554,4.874036,8.5813675,-0.79375196,4.3627214,6.292556,5.1524734,4.2085032,6.787263,3.1089761,2.6137888,7.063514,6.826898,10.633697,7.854508,11.960428,4.6022153,7.9239216,8.565081,6.543518,5.2342906,6.463046,9.005268,4.523123,2.021079,1.0257868,3.4569695,6.018628
