,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,POGAČARJEV TRG-TRŽNICA,KONGRESNI TRG-ŠUBIČEVA ULICA,CANKARJEVA UL.-NAMA,BREG,GRUDNOVO NABREŽJE-KARLOVŠKA C.,MIKLOŠIČEV PARK,BAVARSKI DVOR,TRG OF-KOLODVORSKA UL.,MASARYKOVA DDC,VILHARJEVA CESTA,PARK NAVJE-ŽELEZNA CESTA,TRG MDB,PARKIRIŠČE NUK 2-FF,AMBROŽEV TRG,GH ŠENTPETER-NJEGOŠEVA C.,ILIRSKA ULICA,TRŽAŠKA C.-ILIRIJA,TIVOLI,STARA CERKEV,KINO ŠIŠKA,ŠPICA,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,ZALOŠKA C.-GRABLOVIČEVA C.,TRŽNICA MOSTE,ROŽNA DOLINA-ŠKRABČEVA UL.,DUNAJSKA C.-PS PETROL,PLEČNIKOV STADION,DUNAJSKA C.-PS MERCATOR,LIDL - VOJKOVA CESTA,ŠPORTNI CENTER STOŽICE,KOPRSKA ULICA,MERCATOR CENTER ŠIŠKA,CITYPARK,BTC CITY/DVORANA A,BTC CITY ATLANTIS,TRNOVO,P+R BARJE,P + R DOLGI MOST,BONIFACIJA,ANTONOV TRG,BRATOVŠEVA PLOŠČAD,BS4-STOŽICE,SAVSKO NASELJE 2-LINHARTOVA CESTA,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,SITULA,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,HOFER-KAJUHOVA,BRODARJEV TRG,PREGLOV TRG,LIDL-LITIJSKA CESTA,ŽIVALSKI VRT,CESTA NA ROŽNIK,ŠMARTINSKI PARK,POLJANSKA-POTOČNIKOVA,SREDNJA FRIZERSKA ŠOLA,POVŠETOVA-GRABLOVIČEVA,TRŽNICA KOSEZE,LIDL BEŽIGRAD,MERCATOR MARKET - CELOVŠKA C. 163,RAKOVNIK,ALEJA - CELOVŠKA CESTA,IKEA,KOPALIŠČE KOLEZIJA,VIŠKO POLJE,KOSEŠKI BAJER,DRAVLJE,ČRNUČE,STUDENEC,POLJE,ZALOG,LIDL - RUDNIK,PRUŠNIKOVA,POVŠETOVA - KAJUHOVA,SOSESKA NOVO BRDO,TEHNOLOŠKI PARK,VOJKOVA - GASILSKA BRIGADA,GERBIČEVA - ŠPORTNI PARK SVOBODA,DOLENJSKA C. - STRELIŠČE,ROŠKA - STRELIŠKA,LEK - VEROVŠKOVA,VOKA - SLOVENČEVA,SUPERNOVA LJUBLJANA - RUDNIK,timestamp
0,4.369002,3.202502,6.1247687,6.8894606,6.73682,5.425298,2.0954757,3.0656307,8.02533,7.597449,8.102728,4.365563,3.581092,2.478198,7.0252056,2.3558657,5.5124903,4.6090875,7.4234276,8.747076,11.735533,7.067945,9.91289,2.9579637,8.37144,8.487997,1.3262368,4.335799,6.321296,10.7333555,14.16964,2.4106288,9.420132,4.273727,4.889291,3.069457,5.3610253,9.688901,9.801097,6.747261,8.911632,9.327188,11.443768,9.377721,8.1255245,9.342198,14.011666,9.044621,9.649682,11.244805,12.40252,5.6385703,7.4904833,3.7009091,8.028777,2.5930223,8.007725,12.59139,3.3000424,6.440739,10.758381,5.9463077,1.882052,2.292824,9.138844,6.5464787,5.6767945,10.478361,12.074421,8.003683,8.420155,4.7322245,6.4497633,6.0415444,4.7676115,1.3743432,6.346161,8.21567,6.281693,4.2066827,3.6355822,4.878248,7.0193033,2022-08-04 23:24:00
1,3.442582,2.3760016,5.1368294,5.666313,5.9755125,4.8773165,1.7498212,2.6078136,7.270251,6.917292,7.6853385,4.41435,3.185413,1.9555612,6.8812804,2.1868095,5.1891427,5.1295824,6.838114,8.748127,12.55374,7.309582,10.33423,3.4742553,9.584594,8.92895,1.2854718,5.0879354,7.283939,11.333711,14.118172,2.2050798,9.285155,3.715637,4.286813,2.4604573,5.7202115,9.915494,9.862533,6.874315,9.622969,9.830491,11.709116,10.397681,8.625233,9.14535,14.609091,9.28035,10.0991955,12.167556,12.914487,5.272364,7.813158,3.6058028,8.637588,2.9654438,8.473304,13.000201,3.3429766,7.094543,11.432596,6.24417,1.5390227,2.133175,9.727737,6.505451,6.141417,10.74592,12.215229,8.261132,8.7519655,4.7770567,6.728355,6.896712,5.2192173,1.3504779,7.0335417,9.489652,6.796901,4.386672,3.1407773,5.134012,6.934074,2022-08-05 00:24:00
2,0.5844666,1.0849911,2.4299753,4.368081,3.744664,2.9450858,0.31534302,1.2312663,-6.2831616,-1.8680104,0.8965908,3.623495,4.3746357,2.731606,4.323963,3.186412,1.9778985,12.835325,1.9708929,5.3916054,14.407801,10.400762,13.812924,9.965089,15.190834,10.378074,3.0314322,8.059671,14.361633,17.323238,14.971635,4.2113833,7.9465,2.5893774,-0.975222,-1.9126059,7.858211,10.261362,11.46493,4.2418346,10.692645,8.827359,11.677331,9.498652,6.0881605,4.4787884,16.345695,9.459,14.854714,10.807016,13.881766,2.3305492,9.602521,5.981933,6.4442263,3.7721155,9.243807,12.629608,3.0244143,10.311877,12.29629,4.3191967,0.6163907,3.7193825,9.717438,7.79417,5.9091787,11.574038,13.038739,11.107623,12.9255295,2.8165092,5.903587,10.617401,13.130368,1.8788892,5.821699,16.295296,8.244246,2.4005318,2.419291,4.192448,3.8978114,2022-08-08 04:58:00
3,0.72699225,1.2099189,2.585666,4.544286,3.7186315,2.940125,0.37651908,1.2614424,-6.208859,-1.9660432,0.811018,3.5439959,4.4096384,2.8926926,4.325983,3.3206632,1.9888855,12.883964,1.9399049,5.205689,14.157629,10.40759,13.719561,10.069092,15.18651,10.221391,3.01319,8.112284,14.453251,17.242329,15.048773,4.2061872,7.891278,2.6115446,-0.9836811,-1.8918282,7.9237003,10.266631,11.474006,4.154311,10.598876,8.795803,11.600618,9.356611,6.1391315,4.467439,16.20924,9.4399185,14.843957,10.778709,13.813161,2.2645538,9.613978,5.8914585,6.30459,3.7799835,9.137548,12.513895,2.9827192,10.332034,12.265361,4.318347,0.5628567,3.8451087,9.696632,7.790935,5.8704405,11.679956,13.0667715,11.089189,12.912123,2.8832915,5.9114423,10.726423,13.139655,1.9125558,5.759379,16.510143,8.267485,2.508339,2.4114542,4.154559,3.903497,2022-08-08 05:58:00
4,7.299655,4.8098006,7.8055644,11.958962,6.856836,4.819445,3.1464367,5.790362,3.7157552,3.5462382,4.298564,1.7605743,6.395817,5.283271,4.761154,5.270536,4.268222,5.0853567,5.874748,4.977845,9.110556,8.678401,7.302591,4.896447,8.42307,7.990063,2.9657803,3.228669,7.033934,11.430968,11.786289,3.6128392,8.296943,5.3420796,5.7622933,1.3944591,4.0336514,8.0861635,9.053369,4.2644744,4.616202,6.478656,11.050576,4.761684,5.9572434,5.7251325,10.0749,7.787049,9.369789,8.359339,10.354245,2.3018415,4.8744874,4.834158,4.1403117,1.7913,5.4239354,9.580087,2.5964768,4.747963,9.5898075,4.861457,2.8186524,4.476956,7.264082,5.3786435,3.1198766,8.165869,9.615828,8.425052,9.302745,2.6634672,4.780324,3.87718,6.251121,4.448941,2.8985887,9.27911,5.90834,2.296733,5.299829,3.3902116,4.587369,2022-08-11 21:13:00
5,6.5422916,4.3828464,7.5501385,11.3780985,6.649376,4.4004183,2.8558872,5.283631,3.4847767,3.7659009,4.3242993,1.7873998,6.121802,5.3922167,4.97156,5.2364125,4.199128,5.0808725,5.6617155,5.2234783,9.253094,8.951363,7.55858,5.3010993,8.89686,8.071206,2.8957033,3.5597465,7.442162,11.764689,11.803665,3.4915125,8.495738,4.7949514,5.3807926,1.2948374,4.341341,8.270931,8.948902,4.4197183,5.087178,6.71934,11.085691,5.322202,5.900546,5.9979353,10.511889,7.9531465,9.259192,8.703151,10.5032,2.197289,4.8826604,4.763133,4.4840145,1.756674,5.62917,10.015918,2.8537095,5.0971036,9.827225,4.958353,2.6868353,4.2997737,7.74493,5.513471,3.2175252,8.35886,9.574163,8.511588,9.218851,2.816913,5.126854,4.261031,6.416603,4.524097,3.292645,9.609939,6.405706,2.5844953,5.30915,4.0785236,4.481333,2022-08-11 22:13:00
6,2.0055358,6.7376156,1.8046362,2.6735585,3.3179069,0.4608238,1.5142614,2.5600154,2.4944599,1.5169907,-1.5444527,4.8295984,3.4762218,0.9729626,3.8520222,2.1948748,0.68784916,11.099812,-1.0767806,4.305834,10.487125,4.0264044,4.3231096,9.806329,12.147851,6.2024446,5.350317,6.6553726,11.159391,14.288938,20.271414,2.9529862,3.602853,2.9065998,1.6613208,2.752706,6.9748096,9.643712,6.4157023,7.050668,10.939998,7.2941804,14.81537,5.525531,12.624735,1.5258356,6.644345,6.9503427,9.979557,8.931787,5.4734864,2.4460752,7.4281673,8.681592,8.011593,6.8171206,5.0040045,10.456183,6.2232885,12.131124,5.8473716,8.328322,5.766709,4.3022423,10.04565,13.664368,8.1039295,6.4111967,11.441685,9.288672,8.637269,7.4094696,7.2592983,12.876909,11.553186,6.813013,10.165814,18.68427,6.0692315,11.316961,2.0906293,6.2509365,4.5955205,2022-08-16 07:10:00
7,2.3637297,7.0399594,2.0434551,2.7269883,3.3460596,0.69730616,1.6312819,2.7120197,2.9499128,1.4902592,-1.2710276,4.8824973,3.455575,1.0498924,3.8350437,2.1763194,0.6606921,11.269583,-1.0449996,4.093472,10.125392,3.8411875,4.446273,9.646792,11.572066,5.7278423,5.2419696,6.5442348,10.621542,13.744974,19.779951,2.8542352,3.5734122,3.1259413,1.9174186,3.3031163,7.0667467,9.473801,6.126134,6.7996607,10.555539,7.1755586,14.05608,5.29055,12.198698,1.5302399,6.438467,6.870472,10.035859,8.972949,5.345795,2.691888,7.2307243,8.676764,7.475751,6.73859,5.0727034,9.942292,6.093546,11.803504,5.4596515,8.237832,5.457807,4.3602786,9.492479,13.390866,7.9357495,6.6759334,11.437716,9.164226,8.543272,7.0038786,7.108023,12.86352,11.622782,6.4250984,9.759609,18.19241,5.7554264,10.94779,1.9524297,5.715618,4.5086246,2022-08-16 08:10:00
8,9.2754545,4.8088517,5.3734574,7.051646,3.6446054,5.955898,3.629861,5.2772994,13.21201,6.083375,6.1501217,1.7960763,4.6138067,1.2165399,2.3519995,1.6574996,2.9999998,5.0780644,6.950164,6.3808165,9.424143,5.663251,5.140986,1.4945898,5.2392845,8.104797,2.4161747,3.057663,3.7754192,5.880921,7.0709786,1.2858392,4.3910923,6.164345,8.48707,5.8072643,2.9456499,6.597991,6.2883782,4.4020205,7.3831954,7.482245,9.115455,6.6618853,9.110606,8.165362,8.886339,7.8720393,9.845099,12.906673,9.55364,3.4293709,6.225833,4.170919,4.700827,2.5034585,4.757312,5.2233253,1.8489273,6.2434263,9.565995,5.7750683,2.5638142,6.0543237,4.755047,3.3918245,5.0669227,8.320385,8.969715,7.413145,7.8201723,3.4159768,5.120509,6.327251,6.441068,2.0668333,3.4066958,8.592425,4.6161056,4.2987514,2.6972463,2.0943353,3.680467,2022-08-18 17:30:00
9,8.373798,3.6501849,5.0676303,6.7304373,3.7498288,6.322797,2.6258428,5.3281636,10.940008,5.7516203,5.917912,1.494894,4.4417324,1.8363285,2.973439,2.1187906,3.4156132,4.381745,7.368953,6.877843,10.098588,6.2206483,5.5078406,1.6542786,6.5485888,8.400794,2.9309769,3.1904073,4.313455,6.479017,7.275022,1.0048088,4.7859764,5.746339,7.9490995,4.654722,3.0498483,6.5907526,6.9343944,4.628789,6.811392,7.4886827,9.560261,6.4597964,8.995422,7.791342,9.218624,7.903042,9.554505,12.935175,10.209752,3.3776221,6.4210963,3.6026447,4.517632,1.8479892,5.092748,6.189924,1.7821718,5.884792,10.086267,5.455784,2.4347126,5.6814895,5.4495473,2.5890267,4.8890915,7.98922,9.091896,7.1049356,7.7447195,3.6937554,4.9821444,6.0757427,5.610048,1.8121532,3.5637906,8.722375,4.799496,4.042462,3.236761,1.3750359,3.6093953,2022-08-18 18:27:00
